name,years_active,session_count,companies,roles,sample_sessions,avatar_url,email,linkedin,twitter,notes
APAmanda ParsonsAssociate Director of Client Success,2023,1,The Social Lights,,Creating Impactful Content for Social Media,//cdn.sched.co/common/img/icon-google-maps.png,,,,
ASAbby SteeleDirector,2023,1,"AI/ML Responsible Use Program, United Health Group",,"AI: Equity, Ethics and Abundance in the age of AI",//cdn.sched.co/common/img/icon-google-maps.png,,,,
CCChad CaswellCEO,2023,1,Zubie,,Empowering Growth: Revenue-Based Financing for Emerging Enterprises,//cdn.sched.co/common/img/icon-google-maps.png,,,,
CEChristopher EbbertLab651,2023,1,,,AI in Project Management,//cdn.sched.co/common/img/icon-google-maps.png,,,,
CRCarolyn RingFulcrum,2023,1,,,Get Drunk with Fulcrum,//cdn.sched.co/common/img/icon-google-maps.png,,,,
CSCasey SchultzDirector of Community & Impact Investing,2023,1,Saint Paul and Minnesota Foundation,,"Fundraising Level Set: The Who, What, and Why of Venture Capital. And Other Non-",//cdn.sched.co/common/img/icon-google-maps.png,,,,
CSCharlie SeitzerStratasys,2023,1,,,3D Printing the entire design cycle,//cdn.sched.co/common/img/icon-google-maps.png,,,,
CTChris Taylorezer21,2023,1,,,Appetizers ’n Finance: what strong financial muscle means for startups to mid-si,//cdn.sched.co/common/img/icon-google-maps.png,,,,
DHDan HeckInvestment Partner,2023,1,Stage 2 Capital,,Founders X Funders: Venture Capital in 2023,//cdn.sched.co/common/img/icon-google-maps.png,,,,
DJDawn JohnsonDawn L Johnson LLC,2023,1,,,Leadership Lessons: Feeling Our Way Beyond Allyship,//cdn.sched.co/common/img/icon-google-maps.png,,,,
DMDavid ManlyJuduh,2023,1,,,Launching a new frontier market for the tech industry,//cdn.sched.co/common/img/icon-google-maps.png,,,,
JBJohn BorchersCo-Founder and Managing Director,2023,1,Decathlon Capital Partners,,Empowering Growth: Revenue-Based Financing for Emerging Enterprises,//cdn.sched.co/common/img/icon-google-maps.png,,,,
JMJennifer MorganLivefront,2023,1,,,Product Folk: A Community for Product Managers,//cdn.sched.co/common/img/icon-google-maps.png,,,,
KAKelan AnzuresFulcrum,2023,1,,,Get Drunk with Fulcrum,//cdn.sched.co/common/img/icon-google-maps.png,,,,
KJKelsey JosonStrengthen the Strong,2023,2,,,"Networking 101, Putting Yourself Out There and Making a Difference; Strengthen the Strong Luncheon",//cdn.sched.co/common/img/icon-google-maps.png,,,,
KOKailin OliverAssociate Director of MN Cup,2023,1,University of Minnesota,,2023 MN Cup Grand Finale,//cdn.sched.co/common/img/icon-google-maps.png,,,,
KPKarin PetersonEvents and Sponsorships Manager,2023,1,Fredrikson,,Empowering Growth: Revenue-Based Financing for Emerging Enterprises,//cdn.sched.co/common/img/icon-google-maps.png,,,,
KUKyle UdsetthCEO,2023,1,Pineapple Energy,,Empowering Growth: Revenue-Based Financing for Emerging Enterprises,//cdn.sched.co/common/img/icon-google-maps.png,,,,
LELisa EricksonKenwood Group,2023,1,,,Unlocking Talent: The Power of Partnering with a Search Firm!,//cdn.sched.co/common/img/icon-google-maps.png,,,,
LHLucas HjelleSchwegman Lundberg & Woessner,2023,1,,,Intellectual Property/Patent Basics,//cdn.sched.co/common/img/icon-google-maps.png,,,,
MBMaddie BergerSocial Content Creator,2023,1,The Social Lights,,Creating Impactful Content for Social Media,//cdn.sched.co/common/img/icon-google-maps.png,,,,
MFMark FlahertyScouts Talent,2023,1,,,Appetizers ’n Finance: what strong financial muscle means for startups to mid-si,//cdn.sched.co/common/img/icon-google-maps.png,,,,
MJMeredith JurekFounder,2023,1,"Chief Articulator, StorycoreI'm a 25-year corporate marketing vet, former CMO now doing what I really love: helping entrepreneurs, business and tech leaders craft & connect their vision to investors, prospective and internal customers. My narrative approach to pitch decks has netted more than $200MM in the last...Read More →",,Crafting a Pitch Story that Wins,//cdn.sched.co/common/img/icon-google-maps.png,,,,
MLMichael LuseniCareer and Technical Education Principal,2023,1,Minneapolis Public Schools,,Future-Ready Workforce: Building an Inclusive 21st Century Workforce from Youth ,//cdn.sched.co/common/img/icon-google-maps.png,,,,
MRMatthew RaskinLattice,2023,1,,,How Clarity through Communication Habits Impacts Performance,//cdn.sched.co/common/img/icon-google-maps.png,,,,
MSMatt SchraanLivefront,2023,2,,,Product Folk: A Community for Product Managers; A RADICL Sprint: Getting Product Alignment in Just One Day,//cdn.sched.co/common/img/icon-google-maps.png,,,,
MTMichelle Tran MarynsWe Sparkle,2023,1,,,How to Start a Social Enterprise from 5 Years of FINN Fellows,//cdn.sched.co/common/img/icon-google-maps.png,,,,
NCNicolas ContagKlaro CFO,2023,1,,,Building a Finance Team from Day One to Exit,//cdn.sched.co/common/img/icon-google-maps.png,,,,
NVNikhil Vimal,2023,1,,,"Generative AI and the Future of Work: Opportunities, Challenges, and What Comes ",//cdn.sched.co/common/img/icon-google-maps.png,,,,
OTOctavia TreadwayChief Greatness Officer,2023,1,"You're Carrying Something Great LLCMy name is Tav and I am the Founder and Chief Greatness Officer of You're Carrying Something Great LLC aka Something Great. I became an expert in business operations and organizational processes; and used my skills working for a very prestigious organization. However, after so much...Read More →",,Boss UP!,//cdn.sched.co/common/img/icon-google-maps.png,,,,
PDPat DillonCEO,2023,1,"MNSBIR, Inc.",,Non-Dilutive Federal Funding to Bring New Technological Innovations to Life,//cdn.sched.co/common/img/icon-google-maps.png,,,,
