year,title,url,time_place,track,description,speakers,speaker_details,files,photos
2018,Mpls Jr Devs Pre-TCSW Happy Hour,https://tcsw18.sched.com/event/Gv5w/mpls-jr-devs-pre-tcsw-happy-hour,,,,,[],,
2018,Pre- TCSW Startup Weekend *External Registration Required*,https://tcsw18.sched.com/event/G7BW/pre-tcsw-startup-weekend-external-registration-required,,,,avatar for Generation.MN (Host); avatar for David Berger; avatar for David Berger; avatar for Angie Eilers; avatar for Angie Eilers; avatar for Angie Eilers; avatar for Angie Eilers,"[{""name"": ""avatar for Generation.MN (Host)"", ""role"": """", ""company"": ""disruptors, and entrepreneurs to develop and create a better future for all.We provide a platform for students to build their ideas. We offer a...Read More →"", ""avatar_url"": ""//avatars.sched.co/c/52/6078445/avatar.jpg?ed3""}, {""name"": ""avatar for David Berger"", ""role"": """", ""company"": ""Integra LedgerDavid Berger is a computer technologist with extensive experience focusing on Mobile/Social content delivery. He has worked with numerous large and small clients including Sun, Oracle, IDG books, Pogo and NBC. David previously founded Scientia, acquired by the Princeton Review, and...Read More →"", ""avatar_url"": ""//avatars.sched.co/5/9b/5912814/avatar.jpg?7fe""}, {""name"": ""avatar for David Berger"", ""role"": """", ""company"": ""private equity, IPO to publicly traded. Actively involved with public and private technology companies as a board member, audit committee chair and governance and finance committee member, as well...Read More →"", ""avatar_url"": ""//avatars.sched.co/5/9b/5912814/avatar.jpg?7fe""}, {""name"": ""avatar for Angie Eilers"", ""role"": """", ""company"": ""CEO, UR TURN"", ""avatar_url"": ""//avatars.sched.co/1/fb/5967445/avatar.jpg?500""}, {""name"": ""avatar for Angie Eilers"", ""role"": """", ""company"": ""Thomson ReutersMary Grams has run the gamut from product development and management to marketing and content strategy roles at Thomson Reuters. While working in a large organization, she has focused on building skills as an intrapreneur participating in several internal innovation challenges (and...Read More →"", ""avatar_url"": ""//avatars.sched.co/1/fb/5967445/avatar.jpg?500""}, {""name"": ""avatar for Angie Eilers"", ""role"": """", ""company"": ""Silverbow ConsultingDiane Rucker is an expert at making complex things seem simple. She is an independent consultant in the Twin Cities, working on global entrepreneurship and data-driven strategy. Diane’s fascination with innovation started when she failed her first interview at MIT Sloan. She convinced...Read More →"", ""avatar_url"": ""//avatars.sched.co/1/fb/5967445/avatar.jpg?500""}, {""name"": ""avatar for Angie Eilers"", ""role"": """", ""company"": ""SwanniesCo-Founder of Swannies, a lifestyle apparel brand for casual golfers. www.swannies.co"", ""avatar_url"": ""//avatars.sched.co/1/fb/5967445/avatar.jpg?500""}]",,
2018,Official Twin Cities Startup Week Opening Night Party,https://tcsw18.sched.com/event/GH6p/official-twin-cities-startup-week-opening-night-party,,,,,[],,
2018,Free Workout with Alchemy,https://tcsw18.sched.com/event/G7vR/free-workout-with-alchemy,,,,,[],,
2018,JUST ADDED: Scaling Within: Expand Your Internal Capacity to Sustain External Growth Session 1,https://tcsw18.sched.com/event/HC0K/just-added-scaling-within-expand-your-internal-capacity-to-sustain-external-growth-session-1,,,,avatar for Honest Studios (Host); avatar for ActivMedia (Host); avatar for Meredith Kathleen Neumann,"[{""name"": ""avatar for Honest Studios (Host)"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/c/2a/6168703/avatar.jpg?07e""}, {""name"": ""avatar for ActivMedia (Host)"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/1/34/6168712/avatar.jpg?86c""}, {""name"": ""avatar for Meredith Kathleen Neumann"", ""role"": """", ""company"": ""Scaling WithinCompany culture flows from the top down.  Research shows that the most successful business leaders invest in their own growth as well as their teams, developing their people into assets and improving company culture.  Drawing from her 10 years of experience as a Psychotherapist...Read More →"", ""avatar_url"": ""//avatars.sched.co/e/a8/5958865/avatar.jpg?796""}]",,
2018,MANOVA Global Summit on the Future of Health in Medical Alley - Monday pass,https://tcsw18.sched.com/event/GGvV/manova-global-summit-on-the-future-of-health-in-medical-alley-monday-pass,,,,avatar for MANOVA (Host); avatar for Dan Buettner; avatar for Dr. Jijo James; avatar for Guillermo Penalosa; avatar for Dr. Ray Price; avatar for Lesley Solomon; avatar for Dr. Penny Wheeler,"[{""name"": ""avatar for MANOVA (Host)"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/9/a8/6168655/avatar.jpg?1c5""}, {""name"": ""avatar for Dan Buettner"", ""role"": """", ""company"": ""National Geographic Fellow, award-winning journalist and producer, and New York Times bestselling author. He discovered the five places in the world – dubbed Blue Zones – where people live the longest, healthiest lives. His articles about these places...Read More →"", ""avatar_url"": ""//avatars.sched.co/e/e5/5954983/avatar.jpg?6fc""}, {""name"": ""avatar for Dr. Jijo James"", ""role"": """", ""company"": ""Johnson & JohnsonJijo is the Chief Medical Officer for Johnson & Johnson Medical Devices. In the role, he is responsible for overseeing patient monitoring and safety surveillance practices. Jijo is a member of the Johnson & Johnson Office of the Chief Medical Officer Senior Leadership team and Medical...Read More →"", ""avatar_url"": ""//avatars.sched.co/e/4c/5955001/avatar.jpg?785""}, {""name"": ""avatar for Guillermo Penalosa"", ""role"": """", ""company"": ""8 80 Cities / World Urban ParksGil Penalosa is passionate about cities for all people. He advises decision makers and communities on how to create vibrant cities and healthy communities for everyone regardless of age, gender and social, economic, or ethnic background. His focus is on the design and use of parks...Read More →"", ""avatar_url"": ""//avatars.sched.co/5/8b/5954989/avatar.jpg?f75""}, {""name"": ""avatar for Dr. Ray Price"", ""role"": """", ""company"": ""University of UtahDr. Price, a pioneer in expanding the role of surgery in public health, has helped improve health care worldwide. Dr. Price is a clinician, researcher, author, and advocate for equality in health care. Honors received by Dr. Price include: the Presidential Friendship Medal, Mongolia...Read More →"", ""avatar_url"": ""//avatars.sched.co/c/dd/5954992/avatar.jpg?763""}, {""name"": ""avatar for Lesley Solomon"", ""role"": """", ""company"": ""Chief Innovation Officer at Dana-Farber. She works with industry, investors and Dana-Farber innovators to accelerate cancer therapies and improve care. Lesley develops strategies and collaborations to enhance research and patient care while also delivering...Read More →"", ""avatar_url"": ""//avatars.sched.co/d/f7/5955010/avatar.jpg?dec""}, {""name"": ""avatar for Dr. Penny Wheeler"", ""role"": """", ""company"": ""AllinaPenny Wheeler, MD, is the president and chief executive officer of Allina Health. Prior to her appointment as CEO, she served as the chief clinical officer of Allina Health, responsible for leading the organization's quality and value agenda through alignment of the clinical and operational...Read More →"", ""avatar_url"": ""//avatars.sched.co/0/23/5955004/avatar.jpg?648""}]",,
2018,"The Time is Now! A conversation with Jeff Harmening, CEO and Chairman, General Mills, and NPR’s Kerri Miller. - Food Ag Ideas Week Kick off *External Registration Required*",https://tcsw18.sched.com/event/G7vA/the-time-is-now-a-conversation-with-jeff-harmening-ceo-and-chairman-general-mills-and-nprs-kerri-miller-food-ag-ideas-week-kick-off-external-registration-required,,,,avatar for Jeff Harmening; avatar for Kerri Miller,"[{""name"": ""avatar for Jeff Harmening"", ""role"": """", ""company"": ""General Mills"", ""avatar_url"": ""//avatars.sched.co/a/0c/5916008/avatar.jpg?7d7""}, {""name"": ""avatar for Kerri Miller"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/b/7e/5916010/avatar.jpg?68a""}]",,
2018,The Coven Presents: Getting Funded,https://tcsw18.sched.com/event/G766/the-coven-presents-getting-funded,,,,avatar for Kerri Miller; avatar for Kerri Miller; avatar for Kerri Miller; avatar for Kerri Miller,"[{""name"": ""avatar for Kerri Miller"", ""role"": """", ""company"": ""MEND JewelryJordyn is the founder of MEND Jewelry.  She spent the last two years in the marketing / advertising world as a project manager and left last November after she secured venture capital in her jewelry business.  Jordyn is from a large Italian family (number five of seven), loves listening...Read More →"", ""avatar_url"": ""//avatars.sched.co/b/7e/5916010/avatar.jpg?68a""}, {""name"": ""avatar for Kerri Miller"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/b/7e/5916010/avatar.jpg?68a""}, {""name"": ""avatar for Kerri Miller"", ""role"": """", ""company"": ""FrameWork ConsultingMaggie Knoke is the founder and CEO of FrameWork Consulting, where she helps entrepreneur founders/visionaries and their leadership teams get unstuck at key pivot points through strategic and annual planning, talent management strategies and executive coaching. She has over 20 years...Read More →"", ""avatar_url"": ""//avatars.sched.co/b/7e/5916010/avatar.jpg?68a""}, {""name"": ""avatar for Kerri Miller"", ""role"": """", ""company"": ""The CovenAlex is a Swiss Army Knife who knows how to raise humans and build Public Relations strategies for businesses, politicians, startups, and non-profits. The co-founder of The Coven, a community and work space for women and non-binary folks, Alex is dedicated to the empowerment and advancement...Read More →"", ""avatar_url"": ""//avatars.sched.co/b/7e/5916010/avatar.jpg?68a""}]",,
2018,"The Lifecycle of a Brand: Building Stories that Start, Scale, Sustain, and Sell Businesses",https://tcsw18.sched.com/event/G78z/the-lifecycle-of-a-brand-building-stories-that-start-scale-sustain-and-sell-businesses,,,,avatar for Don Ball; avatar for Doug Berg; avatar for Nina Hale; avatar for Chip House; avatar for Jennifer Zick,"[{""name"": ""avatar for Don Ball"", ""role"": """", ""company"": ""Fueled Collective"", ""avatar_url"": ""//avatars.sched.co/b/de/5916038/avatar.jpg?090""}, {""name"": ""avatar for Doug Berg"", ""role"": """", ""company"": ""ZAPinfo"", ""avatar_url"": ""//avatars.sched.co/d/8d/5916040/avatar.jpg?7e4""}, {""name"": ""avatar for Nina Hale"", ""role"": """", ""company"": ""Nina Hale"", ""avatar_url"": ""//avatars.sched.co/a/24/5916041/avatar.jpg?602""}, {""name"": ""avatar for Chip House"", ""role"": """", ""company"": ""Structural"", ""avatar_url"": ""//avatars.sched.co/6/10/5916043/avatar.jpg?bf7""}, {""name"": ""avatar for Jennifer Zick"", ""role"": """", ""company"": ""Authentic BrandFounder of Authentic Brand: Fractional Marketing Leadership | Strategy & Planning | Brand & Messaging. Uniquely equipped to support businesses powered by EOS / Traction. Jennifer Zick is a passionate and driven leader with nearly 20 years of B2B marketing experience in innovative...Read More →"", ""avatar_url"": ""//avatars.sched.co/2/bc/4475688/avatar.jpg?83c""}]",,
2018,Food | Ag | Ideas Week *External Registration Required*,https://tcsw18.sched.com/event/G7vE/food-ag-ideas-week-external-registration-required,,,,,[],,
